2019-10-29 11:15:45 status half-installed at-spi2-core:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:45 status unpacked at-spi2-core:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:45 status unpacked at-spi2-core:amd64 2.22.0-6+deb9u1
2019-10-29 11:15:45 install openssl:amd64 <none> 1.1.0l-1~deb9u1
2019-10-29 11:15:45 status half-installed openssl:amd64 1.1.0l-1~deb9u1
2019-10-29 11:15:45 status unpacked openssl:amd64 1.1.0l-1~deb9u1
2019-10-29 11:15:45 status unpacked openssl:amd64 1.1.0l-1~deb9u1
2019-10-29 11:15:45 install ca-certificates:all <none> 20161130+nmu1+deb9u1
2019-10-29 11:15:45 status half-installed ca-certificates:all 20161130+nmu1+deb9u1
2019-10-29 11:15:46 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2019-10-29 11:15:46 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2019-10-29 11:15:46 install java-common:all <none> 0.58+deb9u1
2019-10-29 11:15:46 status half-installed java-common:all 0.58+deb9u1
2019-10-29 11:15:46 status unpacked java-common:all 0.58+deb9u1
2019-10-29 11:15:46 status unpacked java-common:all 0.58+deb9u1
2019-10-29 11:15:46 install libavahi-common-data:amd64 <none> 0.6.32-2
2019-10-29 11:15:46 status half-installed libavahi-common-data:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-common-data:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-common-data:amd64 0.6.32-2
2019-10-29 11:15:46 install libavahi-common3:amd64 <none> 0.6.32-2
2019-10-29 11:15:46 status half-installed libavahi-common3:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-common3:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-common3:amd64 0.6.32-2
2019-10-29 11:15:46 install libavahi-client3:amd64 <none> 0.6.32-2
2019-10-29 11:15:46 status half-installed libavahi-client3:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-client3:amd64 0.6.32-2
2019-10-29 11:15:46 status unpacked libavahi-client3:amd64 0.6.32-2
2019-10-29 11:15:46 install libcups2:amd64 <none> 2.2.1-8+deb9u4
2019-10-29 11:15:46 status half-installed libcups2:amd64 2.2.1-8+deb9u4
2019-10-29 11:15:47 status unpacked libcups2:amd64 2.2.1-8+deb9u4
2019-10-29 11:15:47 status unpacked libcups2:amd64 2.2.1-8+deb9u4
2019-10-29 11:15:47 install liblcms2-2:amd64 <none> 2.8-4+deb9u1
2019-10-29 11:15:47 status half-installed liblcms2-2:amd64 2.8-4+deb9u1
2019-10-29 11:15:47 status unpacked liblcms2-2:amd64 2.8-4+deb9u1
2019-10-29 11:15:47 status unpacked liblcms2-2:amd64 2.8-4+deb9u1
2019-10-29 11:15:47 install libnspr4:amd64 <none> 2:4.12-6
2019-10-29 11:15:47 status half-installed libnspr4:amd64 2:4.12-6
2019-10-29 11:15:47 status unpacked libnspr4:amd64 2:4.12-6
2019-10-29 11:15:47 status unpacked libnspr4:amd64 2:4.12-6
2019-10-29 11:15:47 install libnss3:amd64 <none> 2:3.26.2-1.1+deb9u1
2019-10-29 11:15:47 status half-installed libnss3:amd64 2:3.26.2-1.1+deb9u1
2019-10-29 11:15:47 status unpacked libnss3:amd64 2:3.26.2-1.1+deb9u1
2019-10-29 11:15:47 status unpacked libnss3:amd64 2:3.26.2-1.1+deb9u1
2019-10-29 11:15:47 install libpcsclite1:amd64 <none> 1.8.20-1
2019-10-29 11:15:47 status half-installed libpcsclite1:amd64 1.8.20-1
2019-10-29 11:15:47 status unpacked libpcsclite1:amd64 1.8.20-1
2019-10-29 11:15:47 status unpacked libpcsclite1:amd64 1.8.20-1
